         162113472 function calls (133249771 primitive calls) in 62.759 seconds

   Ordered by: cumulative time
   List reduced from 995 to 140 due to restriction <140>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   4468/1    0.062    0.000   62.970   62.970 <stdin>:38(measured)
        1    0.000    0.000   62.970   62.970 mlb_daily_pick_lock_protected.py:637(lambda_handler)
        1    0.000    0.000   62.969   62.969 mlb_daily_pick_lock.py:413(lambda_handler)
        1    0.000    0.000   62.969   62.969 mlb_daily_pick_lock.py:385(handle)
        1    0.000    0.000   62.968   62.968 mlb_daily_per_game_lock_patch.py:5770(status_payload)
        1    0.000    0.000   62.891   62.891 mlb_daily_per_game_lock_patch.py:5586(_status_payload_uncached)
        1    0.006    0.006   35.535   35.535 mlb_daily_per_game_lock_patch.py:173(_status_query_pulls)
18628025/15740   15.809    0.000   33.056    0.002 copy.py:118(deepcopy)
2065955/9129    6.302    0.000   33.023    0.004 copy.py:217(_deepcopy_dict)
37164/33071    0.158    0.000   31.364    0.001 copy.py:191(_deepcopy_list)
        1    0.016    0.016   24.334   24.334 mlb_daily_per_game_lock_patch.py:5095(_progress)
        2    0.035    0.018   22.794   11.397 inqsi_pull_history.py:289(canonicalize_pull_slots)
       15    0.012    0.001   20.181    1.345 mlb_daily_per_game_lock_patch.py:1190(_scoring_pulls)
       35    0.000    0.000   18.693    0.534 factory.py:580(do_action)
       35    0.000    0.000   18.693    0.534 action.py:63(__call__)
       35    0.001    0.000   18.691    0.534 client.py:544(_api_call)
       35    0.001    0.000   18.690    0.534 client.py:925(_make_api_call)
        1    0.026    0.026   18.608   18.608 inqsi_pull_history.py:1412(_query_pull_items)
      552    0.018    0.000   18.251    0.033 inqsi_pull_history.py:230(pull_payload_fingerprint)
       35    0.000    0.000   17.029    0.487 client.py:1013(_make_request)
       35    0.000    0.000   17.029    0.487 endpoint.py:113(make_request)
       35    0.000    0.000   17.029    0.487 endpoint.py:194(_send_request)
       35    0.000    0.000   17.000    0.486 endpoint.py:235(_get_response)
       35    0.001    0.000   16.999    0.486 endpoint.py:263(_do_get_response)
      552    0.001    0.000   11.585    0.021 inqsi_pull_history.py:308(fingerprint_for)
      560    0.097    0.000    9.807    0.018 inqsi_pull_history.py:166(canonical_payload_fingerprint)
       35    0.000    0.000    9.437    0.270 endpoint.py:376(_send)
       35    0.001    0.000    9.437    0.270 httpsession.py:447(send)
     4830    0.006    0.000    9.065    0.002 socket.py:693(readinto)
     4830    0.008    0.000    9.054    0.002 ssl.py:1237(recv_into)
     4830    0.004    0.000    9.044    0.002 ssl.py:1095(read)
     4830    9.040    0.002    9.040    0.002 {method 'read' of '_ssl._SSLSocket' objects}
382056/4596    0.647    0.000    9.011    0.002 {built-in method builtins.sorted}
1679757/560    1.512    0.000    8.878    0.016 inqsi_pull_history.py:131(_canonical_payload_value)
1998389/6512    1.274    0.000    8.873    0.001 inqsi_pull_history.py:149(<genexpr>)
      552    0.014    0.000    8.437    0.015 inqsi_pull_history.py:222(_pull_fingerprint_payload)
       35    0.000    0.000    7.560    0.216 parsers.py:223(parse)
       35    0.084    0.002    7.559    0.216 parsers.py:854(_do_parse)
       35    0.000    0.000    7.474    0.214 parsers.py:880(_handle_json_body)
2122232/35    1.168    0.000    7.212    0.206 parsers.py:328(_parse_shape)
716076/35    3.248    0.000    7.212    0.206 parsers.py:645(_handle_structure)
160048/259    0.401    0.000    7.211    0.028 parsers.py:670(_handle_map)
  2467/62    0.011    0.000    7.209    0.116 parsers.py:334(_handle_list)
 52291424    6.622    0.000    6.622    0.000 {method 'get' of 'dict' objects}
      494    0.006    0.000    5.905    0.012 {method 'join' of 'bytes' objects}
      140    0.000    0.000    5.905    0.042 awsrequest.py:563(content)
      360    0.001    0.000    5.899    0.016 response.py:1120(stream)
      325    0.001    0.000    5.898    0.018 response.py:1027(read)
      325    0.002    0.000    5.895    0.018 response.py:985(_raw_read)
      325    0.000    0.000    5.890    0.018 response.py:937(_fp_read)
      325    0.001    0.000    5.889    0.018 client.py:468(read)
      325    0.003    0.000    5.888    0.018 {method 'read' of '_io.BufferedReader' objects}
   871091    1.243    0.000    4.661    0.000 inqsi_pull_history.py:116(_exact_decimal_text)
        2    0.000    0.000    4.075    2.038 mlb_daily_per_game_lock_patch.py:4483(_validate_stage)
        2    0.000    0.000    4.016    2.008 mlb_daily_per_game_lock_patch.py:3031(persisted_stage_authority_errors)
        2    0.020    0.010    3.981    1.990 mlb_daily_per_game_lock_patch.py:2897(_source_window_authority_errors)
      547    0.004    0.000    3.855    0.007 mlb_daily_per_game_lock_patch.py:131(_status_cached_item)
      426    0.000    0.000    3.841    0.009 mlb_daily_per_game_lock_patch.py:2445(_consistent_item_result)
      411    0.000    0.000    3.828    0.009 mlb_daily_per_game_lock_patch.py:2480(_consistent_item)
       35    0.001    0.000    3.525    0.101 connectionpool.py:596(urlopen)
       35    0.000    0.000    3.520    0.101 connectionpool.py:381(_make_request)
