sport,slateDate,commenceTime,matchup,predictedWinner,winner,score,winProbabilityPct,marketProb,marketEdge,marketDelta,marketGap,bookDivergence,reversalCount,movementPerReversal,runLineMoveAbs,bookAgreement,bookDivergenceFlag,runLineMove,runLineAligned,unconfirmedRunLine,steam,steamAligned,resistance,compressedMarket,missingFundamentals,lowPullDepth,favoriteRisk,opponentFavored,highReversalDirectional,highReversalWeak,selectedUnderdog,selectedFavorite,underdogPositiveMove,underdogEdgeImproving,favoriteFlatMoveRisk,favoriteCompressedRisk,lean,passTier,label
mlb,2026-07-11,2026-07-11T16:07:00Z,Milwaukee Brewers at Pittsburgh Pirates,Pittsburgh Pirates,Pittsburgh Pirates,11.37,56.39,0.515488,0.030975999999999948,-0.021473,0.030975999999999948,0.017409,6.0,0.003578833333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
mlb,2026-07-11,2026-07-11T18:11:00Z,Athletics at Chicago White Sox,Chicago White Sox,Chicago White Sox,59.36,53.42,0.505913,0.011825999999999948,0.015797,0.011825999999999948,0.014015,0.0,0.015797,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
mlb,2026-07-11,2026-07-11T18:37:00Z,Los Angeles Angels at Minnesota Twins,Minnesota Twins,Minnesota Twins,43.69,57.24,0.612881,0.22576200000000002,-0.006993,0.22576200000000002,0.01302,1.0,0.006993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
mlb,2026-07-11,2026-07-11T20:05:50Z,New York Yankees at Washington Nationals,New York Yankees,New York Yankees,28.6,52.06,0.636698,0.273396,0.002191,0.273396,0.015003,1.0,0.002191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
mlb,2026-07-11,2026-07-11T20:06:07Z,Colorado Rockies at San Francisco Giants,San Francisco Giants,San Francisco Giants,42.21,55.69,0.574653,0.149306,-0.005936,0.149306,0.019316,1.0,0.005936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
mlb,2026-07-11,2026-07-11T20:11:00Z,Boston Red Sox at New York Mets,New York Mets,Boston Red Sox,2.97,61.26,0.582087,0.16417400000000004,-0.004454,0.16417400000000004,0.013529,4.0,0.0011135,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
mlb,2026-07-11,2026-07-11T20:11:00Z,Cleveland Guardians at Miami Marlins,Miami Marlins,Cleveland Guardians,48.83,54.0,0.580269,0.16053800000000001,0.00634,0.16053800000000001,0.013329,0.0,0.00634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
mlb,2026-07-11,2026-07-11T20:16:00Z,Milwaukee Brewers at Pittsburgh Pirates,Pittsburgh Pirates,Pittsburgh Pirates,39.8,51.2,0.458926,-0.08214800000000005,-0.005182,0.08214800000000005,0.016183,1.0,0.005182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
mlb,2026-07-11,2026-07-11T20:35:00Z,Seattle Mariners at Tampa Bay Rays,Seattle Mariners,Tampa Bay Rays,28.24,54.79,0.488089,-0.02382200000000001,-0.002606,0.02382200000000001,0.01283,2.0,0.001303,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
mlb,2026-07-11,2026-07-11T22:11:00Z,Philadelphia Phillies at Detroit Tigers,Philadelphia Phillies,Philadelphia Phillies,33.48,57.32,0.558854,0.11770799999999998,-0.001769,0.11770799999999998,0.017789,1.0,0.001769,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
